"","Table C-4-1  Visual Stability Index (VSI) Rating Criteria"
"Rating","Criteria"
"0","No evidence of segregation in slump flow patty or in the wheelbarrow."
"","No mortar halo or aggregate pile in the slump flow patty but some slight bleed or air popping on the"
"1",""
"","surface of the concrete in the wheelbarrow."
"","A slight mortar halo (<3/8 inch) and/or aggregate pile in the slump flow patty and highly noticeable"
"2",""
"","bleeding in the wheelbarrow."
"","Clearly segregating by evidence of a large mortar halo (>3/8 inch) and/or large aggregate pile in the center"
"3",""
"","of the concrete patty and a thick layer or paste on the surface of the resting concrete in the wheelbarrow."
