"","","","","Table ST-7  Estimation of Lot Percent Defective for Sample Size 7","","","","","","",""
"","Q1","0.00","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09"
"","0.0","50.00","49.63","49.25","48.88","48.50","48.13","47.75","47.38","47.01","46.63"
"","0.1","46.26","45.89","45.51","45.14","44.77","44.40","44.03","43.65","43.28","42.91"
"","0.2","42.54","42.17","41.80","41.44","41.07","40.70","40.33","39.97","39.60","39.23"
"","0.3","38.87","38.50","38.14","37.78","37.42","37.05","36.69","36.33","35.98","35.62"
"","0.4","35.26","34.90","34.55","34.19","33.84","33.49","33.13","32.78","32.43","32.08"
"","0.5","31.74","31.39","31.04","30.70","30.36","30.01","29.67","29.33","28.99","28.66"
"","0.6","28.32","27.98","27.65","27.32","26.99","26.66","26.33","26.00","25.68","25.35"
"","0.7","25.03","24.71","24.39","24.07","23.75","23.44","23.12","22.81","22.50","22.19"
"","0.8","21.88","21.58","21.27","20.97","20.67","20.37","20.07","19.78","19.48","19.19"
"","0.9","18.90","18.61","18.33","18.04","17.76","17.48","17.20","16.92","16.65","16.37"
"","1.0","16.10","15.83","15.56","15.30","15.03","14.77","14.51","14.26","14.00","13.75"
"","1.1","13.49","13.25","13.00","12.75","12.51","12.27","12.03","11.79","11.56","11.33"
"","1.2","11.10","10.87","10.65","10.42","10.20","9.98","9.77","9.55","9.34","9.13"
"","1.3","8.93","8.72","8.52","8.32","8.12","7.92","7.73","7.54","7.35","7.17"
"","1.4","6.98","6.80","6.62","6.45","6.27","6.10","5.93","5.77","5.60","5.44"
"","1.5","5.28","5.13","4.97","4.82","4.67","4.52","4.38","4.24","4.10","3.96"
"","1.6","3.83","3.69","3.57","3.44","3.31","3.19","3.07","2.95","2.84","2.73"
"","1.7","2.62","2.51","2.41","2.30","2.20","2.11","2.01","1.92","1.83","1.74"
"","1.8","1.65","1.57","1.49","1.41","1.34","1.26","1.19","1.12","1.06","0.99"
"","1.9","0.93","0.87","0.81","0.76","0.70","0.65","0.60","0.56","0.51","0.47"
"","2.0","0.43","0.39","0.36","0.32","0.29","0.26","0.23","0.21","0.18","0.16"
"","2.1","0.14","0.12","0.10","0.08","0.07","0.06","0.05","0.04","0.03","0.02"
"","2.2","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1.","","Numbers in the body of the table are estimates of lot percent defective corresponding to specific values of “Q,” the Quality Index.","","","","","","","","",""
